data;

param n := 300;
param s := 0;
param t := 66;
set P := 82 118 261 98 218 249 101 200 276 295 111 239 232 86 155 48 192 52 26 259;
param : E : c :=
0 1 8
0 2 7
0 3 15
0 4 13
0 5 25
0 6 10
0 7 27
0 8 7
0 9 5
0 10 17
1 0 23
1 45 7
1 46 17
1 47 16
1 48 19
1 49 1
1 50 21
1 51 30
1 52 1
1 53 14
2 101 16
2 163 12
2 239 15
2 243 4
2 277 5
2 281 7
3 18 14
3 129 29
3 217 12
3 259 2
3 268 7
4 38 14
4 153 3
4 167 29
4 217 9
4 232 13
4 258 29
4 259 20
4 261 11
4 264 8
4 277 13
5 111 30
5 186 15
5 207 23
5 233 27
5 295 24
6 124 17
6 141 26
6 151 27
6 267 14
6 295 25
7 40 13
7 231 17
7 232 10
7 233 30
7 234 18
8 34 16
8 48 14
8 90 8
8 102 8
8 215 23
9 48 23
9 63 4
9 127 22
9 128 19
9 129 29
9 130 1
10 38 18
10 91 27
10 155 1
10 165 10
10 185 19
10 220 14
11 0 17
11 8 16
11 12 27
11 13 17
11 14 8
11 15 21
11 16 2
11 17 19
11 18 5
11 19 2
12 30 23
12 31 28
12 32 1
12 33 4
12 34 30
13 37 2
13 88 1
13 103 10
13 126 5
13 139 28
13 155 25
13 173 6
13 186 17
13 239 7
13 252 11
14 67 25
14 82 5
14 120 18
14 142 12
14 148 3
14 151 12
14 155 13
14 185 16
14 249 13
14 255 4
15 40 16
15 67 14
15 86 8
15 120 22
15 126 22
15 153 24
16 22 8
16 66 22
16 110 23
16 115 23
16 209 5
16 221 16
17 77 29
17 114 3
17 212 12
17 249 13
17 262 24
17 292 5
18 12 7
18 80 22
18 200 25
18 248 2
18 274 1
18 284 5
19 23 29
19 82 1
19 107 5
19 133 2
19 136 3
19 151 7
19 165 23
19 183 27
19 186 6
19 281 22
20 0 24
20 21 8
20 22 11
20 23 27
20 24 24
20 25 25
20 26 17
20 27 20
20 28 11
20 29 17
21 24 4
21 98 18
21 101 1
21 168 18
21 170 11
21 173 21
21 237 8
21 243 11
21 244 27
21 245 28
22 92 16
22 120 28
22 233 25
22 248 6
22 262 8
23 44 16
23 79 19
23 82 10
23 235 30
23 253 16
23 272 10
24 21 30
24 51 6
24 80 1
24 176 30
24 196 21
25 90 1
25 117 17
25 154 9
25 244 13
25 248 10
26 83 18
26 111 26
26 117 26
26 239 25
26 276 6
27 49 29
27 53 4
27 58 8
27 85 28
27 130 18
27 279 28
28 69 26
28 114 29
28 115 3
28 116 25
28 117 25
28 118 28
29 22 12
29 42 29
29 159 9
29 186 26
29 218 12
30 124 7
30 181 21
30 192 19
30 212 8
30 213 20
31 34 7
31 49 2
31 74 10
31 81 28
31 82 13
31 83 27
31 84 25
31 85 26
31 86 29
31 87 7
32 85 25
32 131 6
32 217 27
32 249 26
32 261 28
33 37 26
33 143 12
33 239 19
33 249 30
33 257 8
33 259 16
34 46 12
34 71 26
34 81 16
34 106 13
34 153 8
34 206 11
34 212 30
34 233 30
34 240 20
34 278 24
35 20 14
35 36 23
35 37 8
35 38 25
35 39 5
35 40 19
35 41 24
35 42 18
35 43 2
35 44 17
36 8 9
36 59 22
36 60 3
36 61 17
36 62 20
36 63 24
37 153 13
37 173 6
37 211 6
37 232 10
37 257 4
38 101 21
38 104 30
38 111 16
38 120 1
38 136 2
38 165 22
38 173 17
38 177 26
38 257 3
38 261 17
39 38 7
39 55 27
39 86 4
39 118 15
39 123 24
39 142 22
39 162 10
39 199 7
39 217 16
39 259 12
40 63 29
40 67 12
40 102 12
40 130 6
40 152 10
40 198 23
41 48 23
41 79 19
41 174 7
41 175 17
41 176 14
42 46 16
42 61 21
42 102 11
42 116 10
42 199 13
42 294 25
43 131 23
43 211 23
43 224 10
43 261 7
43 273 21
44 82 15
44 83 26
44 116 5
44 133 2
44 200 19
45 85 16
45 104 28
45 123 12
45 171 11
45 185 26
45 296 8
46 66 4
46 98 10
